Date,Open,High,Low,Close,Adj Close,Volume
2020-06-30,0.040026,0.042195,0.039528,0.039566,0.039566,21398
2020-07-01,0.039551,0.043807,0.038434,0.043212,0.043212,24116
2020-07-02,0.043027,0.043220,0.040951,0.041538,0.041538,17486
2020-07-03,0.041495,0.042669,0.040723,0.041455,0.041455,20747
2020-07-04,0.041422,0.042268,0.039371,0.041775,0.041775,13832
2020-07-05,0.041632,0.042077,0.038537,0.039951,0.039951,15191
2020-07-06,0.039951,0.042161,0.038769,0.040861,0.040861,10672
2020-07-07,0.040853,0.041551,0.038283,0.040684,0.040684,10934
2020-07-08,0.040691,0.041488,0.037193,0.039902,0.039902,12374
2020-07-09,0.039900,0.041258,0.037891,0.039705,0.039705,11238
2020-07-10,0.039709,0.040438,0.038244,0.040355,0.040355,17612
2020-07-11,0.039933,0.040117,0.037840,0.039688,0.039688,14624
2020-07-12,0.039713,0.040057,0.036267,0.037286,0.037286,12833
2020-07-13,0.037286,0.039723,0.035486,0.039447,0.039447,7905
2020-07-14,0.039219,0.039407,0.034572,0.035230,0.035230,5954
2020-07-15,0.035233,0.039306,0.035120,0.037734,0.037734,5975
2020-07-16,0.037727,0.040305,0.034962,0.040045,0.040045,11710
2020-07-17,0.040040,0.041402,0.038153,0.039470,0.039470,11522
2020-07-18,0.039469,0.040491,0.038348,0.039556,0.039556,15881
2020-07-19,0.039554,0.040577,0.037613,0.038918,0.038918,13621
2020-07-20,0.038978,0.039963,0.037453,0.037470,0.037470,14638
2020-07-21,0.037522,0.039896,0.037244,0.039459,0.039459,14341
2020-07-22,0.039460,0.040742,0.038049,0.040359,0.040359,7252
2020-07-23,0.040359,0.041407,0.038655,0.039892,0.039892,5962
2020-07-24,0.039902,0.041757,0.038967,0.039887,0.039887,7169
2020-07-25,0.039887,0.044309,0.039212,0.041556,0.041556,9234
2020-07-26,0.041564,0.045706,0.041138,0.043165,0.043165,5973
2020-07-27,0.043166,0.050933,0.043166,0.048427,0.048427,15626
2020-07-28,0.048630,0.051313,0.047238,0.047666,0.047666,15138
2020-07-29,0.047682,0.052245,0.047015,0.050149,0.050149,16259
2020-07-30,0.050196,0.050507,0.045908,0.047221,0.047221,13168
2020-07-31,0.047215,0.051282,0.046020,0.049367,0.049367,27874
2020-08-01,0.049367,0.051903,0.048194,0.051274,0.051274,17492
2020-08-02,0.051269,0.052501,0.045878,0.047757,0.047757,14665
2020-08-03,0.047779,0.048585,0.045573,0.047517,0.047517,19972
2020-08-04,0.047512,0.047808,0.044877,0.045979,0.045979,18644
2020-08-05,0.045984,0.049184,0.045817,0.046816,0.046816,14063
2020-08-06,0.046816,0.048158,0.045798,0.046455,0.046455,9260
2020-08-07,0.046449,0.047850,0.031230,0.043842,0.043842,10402
2020-08-08,0.043867,0.048021,0.037908,0.043445,0.043445,23721
2020-08-09,0.043459,0.046400,0.039700,0.045481,0.045481,8771
2020-08-10,0.045499,0.046546,0.037939,0.045886,0.045886,13118
2020-08-11,0.045901,0.046486,0.040188,0.041471,0.041471,12599
2020-08-12,0.041492,0.044483,0.038588,0.042229,0.042229,12691
2020-08-13,0.042411,0.044304,0.038423,0.040190,0.040190,13462
2020-08-14,0.040174,0.045020,0.029893,0.035871,0.035871,23902
2020-08-15,0.035882,0.042592,0.030828,0.035041,0.035041,8633
2020-08-16,0.035035,0.043505,0.028944,0.042271,0.042271,9047
2020-08-17,0.042271,0.044405,0.031488,0.043416,0.043416,17699
2020-08-18,0.043406,0.044293,0.030575,0.036239,0.036239,15415
2020-08-19,0.036237,0.038918,0.028605,0.030996,0.030996,13131
2020-08-20,0.030867,0.036312,0.029252,0.035477,0.035477,10198
2020-08-21,0.035473,0.035473,0.028777,0.032387,0.032387,17509
2020-08-22,0.032397,0.033879,0.028733,0.030253,0.030253,9144
2020-08-23,0.030250,0.033828,0.029706,0.029722,0.029722,14091
2020-08-24,0.029722,0.036394,0.026846,0.027790,0.027790,11819
2020-08-25,0.027784,0.035859,0.026438,0.028751,0.028751,11941
2020-08-26,0.028590,0.034815,0.026980,0.026980,0.026980,10841
2020-08-27,0.026972,0.036134,0.025968,0.026554,0.026554,7553
2020-08-28,0.026555,0.036389,0.021352,0.027430,0.027430,8071
2020-08-29,0.027435,0.032774,0.024687,0.027956,0.027956,12036
